Date,Close
6/8/2018 16:00:00,69.99
6/11/2018 16:00:00,72.15
6/12/2018 16:00:00,72.39
6/13/2018 16:00:00,72.5
6/14/2018 16:00:00,73.02
6/15/2018 16:00:00,73.89
6/18/2018 16:00:00,74.49
6/19/2018 16:00:00,73
6/20/2018 16:00:00,74.07
6/21/2018 16:00:00,74.42
6/22/2018 16:00:00,72.94
6/25/2018 16:00:00,71.33
6/26/2018 16:00:00,71.02
6/27/2018 16:00:00,69.57
6/28/2018 16:00:00,69.44
6/29/2018 16:00:00,69.73
7/2/2018 16:00:00,70.92
7/3/2018 13:00:00,70.16
7/5/2018 16:00:00,70.92
7/6/2018 16:00:00,70.96
7/9/2018 16:00:00,71.79
7/10/2018 16:00:00,71.3
7/11/2018 16:00:00,68.88
7/12/2018 16:00:00,71.04
7/13/2018 16:00:00,72.1
7/16/2018 16:00:00,72.26
7/17/2018 16:00:00,72.62
7/18/2018 16:00:00,79
7/19/2018 16:00:00,80.59
7/20/2018 16:00:00,80.91
7/23/2018 16:00:00,81.59
7/24/2018 16:00:00,80.04
7/25/2018 16:00:00,80.56
7/26/2018 16:00:00,81.24
7/27/2018 16:00:00,80.01
7/30/2018 16:00:00,80.07
7/31/2018 16:00:00,80.4
8/1/2018 16:00:00,80.02
8/2/2018 16:00:00,80.85
8/3/2018 16:00:00,81.34
8/6/2018 16:00:00,81.83
8/7/2018 16:00:00,82.32
8/8/2018 16:00:00,82.79
8/9/2018 16:00:00,82.75
8/10/2018 16:00:00,81.72
8/13/2018 16:00:00,81.21
8/14/2018 16:00:00,81.44
8/15/2018 16:00:00,81.87
8/16/2018 16:00:00,81.9
8/17/2018 16:00:00,82.01
8/20/2018 16:00:00,85.22
8/21/2018 16:00:00,85.66
8/22/2018 16:00:00,84.53
8/23/2018 16:00:00,84.74
8/24/2018 16:00:00,85.14
8/27/2018 16:00:00,85.94
8/28/2018 16:00:00,86.82
8/29/2018 16:00:00,87.11
8/30/2018 16:00:00,86.92
8/31/2018 16:00:00,87.42
9/4/2018 16:00:00,88.3
9/5/2018 16:00:00,88.19
9/6/2018 16:00:00,87.13
9/7/2018 16:00:00,87.68
9/10/2018 16:00:00,88.09
9/11/2018 16:00:00,89.12
9/12/2018 16:00:00,87.8
9/13/2018 16:00:00,89.58
9/14/2018 16:00:00,90.33
9/17/2018 16:00:00,90.16
9/18/2018 16:00:00,90.11
9/19/2018 16:00:00,89.35
9/20/2018 16:00:00,89.12
9/21/2018 16:00:00,89.94
9/24/2018 16:00:00,87.84
9/25/2018 16:00:00,87.92
9/26/2018 16:00:00,88.97
9/27/2018 16:00:00,88.34
9/28/2018 16:00:00,89.06
10/1/2018 16:00:00,87.61
10/2/2018 16:00:00,86.71
10/3/2018 16:00:00,87.39
10/4/2018 16:00:00,86.04
10/5/2018 16:00:00,84.14
10/8/2018 16:00:00,83.68
10/9/2018 16:00:00,81.43
10/10/2018 16:00:00,78.93
10/11/2018 16:00:00,80.12
10/12/2018 16:00:00,80.18
10/15/2018 16:00:00,81.34
10/16/2018 16:00:00,83.52
10/17/2018 16:00:00,88.49
10/18/2018 16:00:00,87.09
10/19/2018 16:00:00,87.43
10/22/2018 16:00:00,88.61
10/23/2018 16:00:00,86.33
10/24/2018 16:00:00,82.19
10/25/2018 16:00:00,85.6
10/26/2018 16:00:00,84.63
10/29/2018 16:00:00,84.99
10/30/2018 16:00:00,85.85
10/31/2018 16:00:00,85.51
11/1/2018 16:00:00,88.04
11/2/2018 16:00:00,88.68
11/5/2018 16:00:00,89.47
11/6/2018 16:00:00,89.64
11/7/2018 16:00:00,92.16
11/8/2018 16:00:00,92.56
11/9/2018 16:00:00,92.35
11/12/2018 16:00:00,91.2
11/13/2018 16:00:00,92.6
11/14/2018 16:00:00,91.79
11/15/2018 16:00:00,91.98
11/16/2018 16:00:00,92.26
11/19/2018 16:00:00,92.09
11/20/2018 16:00:00,91.77
11/21/2018 16:00:00,92.86
11/23/2018 13:00:00,94.84
11/26/2018 16:00:00,91.75
11/27/2018 16:00:00,93.38
11/28/2018 16:00:00,94.48
11/29/2018 16:00:00,95.07
11/30/2018 16:00:00,96.7
12/3/2018 16:00:00,96.46
12/4/2018 16:00:00,91.94
12/6/2018 16:00:00,93.03
12/7/2018 16:00:00,88.23
12/10/2018 16:00:00,88.55
12/11/2018 16:00:00,88.14
12/12/2018 16:00:00,89.63
12/13/2018 16:00:00,87.48
12/14/2018 16:00:00,87.74
12/17/2018 16:00:00,86.21
12/18/2018 16:00:00,87.8
12/19/2018 16:00:00,86.37
12/20/2018 16:00:00,84.41
12/21/2018 16:00:00,81.47
12/24/2018 13:00:00,79.12
12/26/2018 16:00:00,83.8
12/27/2018 16:00:00,83.04
12/28/2018 16:00:00,83.17
12/31/2018 16:00:00,83.73
1/2/2019 16:00:00,84.18
1/3/2019 16:00:00,80
1/4/2019 16:00:00,82.68
1/7/2019 16:00:00,83.23
1/8/2019 16:00:00,82.38
1/9/2019 16:00:00,83.76
1/10/2019 16:00:00,81.37
1/11/2019 16:00:00,80.07
1/14/2019 16:00:00,79.91
1/15/2019 16:00:00,81.2
1/16/2019 16:00:00,86.36
1/17/2019 16:00:00,86.74
1/18/2019 16:00:00,85.59
1/22/2019 16:00:00,83.34
1/23/2019 16:00:00,82.88
1/24/2019 16:00:00,84.03
1/25/2019 16:00:00,84.14
1/28/2019 16:00:00,84.6
1/29/2019 16:00:00,85.67
1/30/2019 16:00:00,87.47
1/31/2019 16:00:00,87.27
2/1/2019 16:00:00,87.49
2/4/2019 16:00:00,88.62
2/5/2019 16:00:00,89.46
2/6/2019 16:00:00,89.75
2/7/2019 16:00:00,87.86
2/8/2019 16:00:00,88.17
2/11/2019 16:00:00,89.15
2/12/2019 16:00:00,87.97
2/13/2019 16:00:00,88.58
2/14/2019 16:00:00,88.15
2/15/2019 16:00:00,88.31
2/19/2019 16:00:00,89.24
2/20/2019 16:00:00,88.5
2/21/2019 16:00:00,88.84
2/22/2019 16:00:00,89.43
2/25/2019 16:00:00,89.58
2/26/2019 16:00:00,89.53
2/27/2019 16:00:00,87.6
2/28/2019 16:00:00,87.81
3/1/2019 16:00:00,86.92
3/4/2019 16:00:00,84.31
3/5/2019 16:00:00,85.05
3/6/2019 16:00:00,84.33
3/7/2019 16:00:00,82.61
3/8/2019 16:00:00,82.4
3/11/2019 16:00:00,82.38
3/12/2019 16:00:00,79.85
3/13/2019 16:00:00,81.21
3/14/2019 16:00:00,81.49
3/15/2019 16:00:00,81.69
3/18/2019 16:00:00,80.73
3/19/2019 16:00:00,81.34
3/20/2019 16:00:00,79.83
3/21/2019 16:00:00,81
3/22/2019 16:00:00,79.63
3/25/2019 16:00:00,78.12
3/26/2019 16:00:00,77.49
3/27/2019 16:00:00,78.53
3/28/2019 16:00:00,78.6
3/29/2019 16:00:00,79.78
4/1/2019 16:00:00,80.87
4/2/2019 16:00:00,82.77
4/3/2019 16:00:00,84.2
4/4/2019 16:00:00,84.64
4/5/2019 16:00:00,84.91
4/8/2019 16:00:00,84.58
4/9/2019 16:00:00,84.25
4/10/2019 16:00:00,84.52
4/11/2019 16:00:00,85.75
4/12/2019 16:00:00,85.49
4/15/2019 16:00:00,84.52
4/16/2019 16:00:00,85.17
4/17/2019 16:00:00,89.24
4/18/2019 16:00:00,88.28
4/22/2019 16:00:00,87.56
